#
#"x_pos"	"Body (y_pos=-2.5)"
#---------------------------
-2.5000000000000	0.16879439353943
-1.5000000000000	0.19857382774353
-0.50000000000000	0.21821781992912
0.50000000000000	0.21643851697445
1.5000000000000	0.19794394075871
2.5000000000000	0.16894315183163
#
#"x_pos"	"Body (y_pos=-1.5)"
#---------------------------
-2.5000000000000	0.20345172286034
-1.5000000000000	0.25637629628181
-0.50000000000000	0.30130457878113
0.50000000000000	0.30071979761124
1.5000000000000	0.25619527697563
2.5000000000000	0.20328615605831
#
#"x_pos"	"Body (y_pos=-0.5)"
#---------------------------
-2.5000000000000	0.22892330586910
-1.5000000000000	0.31153711676598
-0.50000000000000	0.38289949297905
0.50000000000000	0.38247117400169
1.5000000000000	0.31034258008003
2.5000000000000	0.22885447740555
#
#"x_pos"	"Body (y_pos=0.5)"
#--------------------------
-2.5000000000000	0.23049686849117
-1.5000000000000	0.31313598155975
-0.50000000000000	0.38413596153259
0.50000000000000	0.38456293940544
1.5000000000000	0.31170842051506
2.5000000000000	0.22960419952869
#
#"x_pos"	"Body (y_pos=1.5)"
#--------------------------
-2.5000000000000	0.20428691804409
-1.5000000000000	0.25794452428818
-0.50000000000000	0.30697122216225
0.50000000000000	0.30543115735054
1.5000000000000	0.25804987549782
2.5000000000000	0.20441563427448
#
#"x_pos"	"Body (y_pos=2.5)"
#--------------------------
-2.5000000000000	0.16997765004635
-1.5000000000000	0.20008797943592
-0.50000000000000	0.21951061487198
0.50000000000000	0.22060918807983
1.5000000000000	0.20085118710995
2.5000000000000	0.17037640511990
2.5000000000000	0.17037640511990
