#
#"x"	"Potential (Es)_0D_3 (y=9)"
#-------------------------------
0.0000000000000	6.7333645820618
0.20000000000000	6.7363314628601
0.40000000000000	6.7739496231079
0.60000000000000	6.8323283195496
0.80000000000000	6.8842701911926
1.0000000000000	6.9326786994934
1.2000000000000	6.9747552871704
1.4000000000000	7.0049924850464
1.6000000000000	7.0243611335754
1.8000000000000	7.0317373275757
2.0000000000000	7.0333719253540
2.2000000000000	7.0309486389160
2.4000000000000	7.0163888931274
2.6000000000000	7.0020294189453
2.8000000000000	6.9751696586609
3.0000000000000	6.9550857543945
#
#"x"	"Potential (Es)_0D_3 (y=12)"
#--------------------------------
0.0000000000000	5.7721695899963
0.20000000000000	5.7566795349121
0.40000000000000	5.7586603164673
0.60000000000000	5.7738533020020
0.80000000000000	5.7924284934998
1.0000000000000	5.8087182044983
1.2000000000000	5.8221602439880
1.4000000000000	5.8366894721985
1.6000000000000	5.8430438041687
1.8000000000000	5.8459324836731
2.0000000000000	5.8460063934326
2.2000000000000	5.8433032035828
2.4000000000000	5.8378100395203
2.6000000000000	5.8301439285278
2.8000000000000	5.8153085708618
3.0000000000000	5.8039655685425
#
#"x"	"Potential (Es)_0D_3 (y=15)"
#--------------------------------
0.0000000000000	5.3165087699890
0.20000000000000	5.2947649955750
0.40000000000000	5.2838368415833
0.60000000000000	5.2777934074402
0.80000000000000	5.2715449333191
1.0000000000000	5.2689166069031
1.2000000000000	5.2623124122620
1.4000000000000	5.2549405097961
1.6000000000000	5.2482447624207
1.8000000000000	5.2382903099060
2.0000000000000	5.2273821830750
2.2000000000000	5.2148623466492
2.4000000000000	5.2033500671387
2.6000000000000	5.1870069503784
2.8000000000000	5.1703143119812
3.0000000000000	5.1536459922791
#
#"x"	"Potential (Es)_0D_3 (y=18)"
#--------------------------------
0.0000000000000	4.9960408210754
0.20000000000000	4.9743161201477
0.40000000000000	4.9544334411621
0.60000000000000	4.9354386329651
0.80000000000000	4.9194722175598
1.0000000000000	4.9010181427002
1.2000000000000	4.8823971748352
1.4000000000000	4.8647027015686
1.6000000000000	4.8456635475159
1.8000000000000	4.8286247253418
2.0000000000000	4.8095378875732
2.2000000000000	4.7896342277527
2.4000000000000	4.7700977325439
2.6000000000000	4.7496442794800
2.8000000000000	4.7289566993713
3.0000000000000	4.7075657844543
#
#"x"	"Potential (Es)_0D_3 (y=21)"
#--------------------------------
0.0000000000000	4.7414364814758
0.20000000000000	4.7215566635132
0.40000000000000	4.6958889961243
0.60000000000000	4.6679310798645
0.80000000000000	4.6411504745483
1.0000000000000	4.6126289367676
1.2000000000000	4.5864286422729
1.4000000000000	4.5590033531189
1.6000000000000	4.5337710380554
1.8000000000000	4.5085482597351
2.0000000000000	4.4826836585999
2.2000000000000	4.4579663276672
2.4000000000000	4.4339008331299
2.6000000000000	4.4092931747437
2.8000000000000	4.3872790336609
3.0000000000000	4.3628792762756
#
#"x"	"Potential (Es)_0D_3 (y=24)"
#--------------------------------
0.0000000000000	4.5268898010254
0.20000000000000	4.5062861442566
0.40000000000000	4.4785857200623
0.60000000000000	4.4441995620728
0.80000000000000	4.4085111618042
1.0000000000000	4.3719859123230
1.2000000000000	4.3365139961243
1.4000000000000	4.3035435676575
1.6000000000000	4.2707996368408
1.8000000000000	4.2392406463623
2.0000000000000	4.2104229927063
2.2000000000000	4.1810441017151
2.4000000000000	4.1526083946228
2.6000000000000	4.1261539459229
2.8000000000000	4.0997657775879
3.0000000000000	4.0750699043274
#
#"x"	"Potential (Es)_0D_3 (y=27)"
#--------------------------------
0.0000000000000	4.3377861976624
0.20000000000000	4.3163981437683
0.40000000000000	4.2845721244812
0.60000000000000	4.2441391944885
0.80000000000000	4.2000441551208
1.0000000000000	4.1570005416870
1.2000000000000	4.1160960197449
1.4000000000000	4.0756607055664
1.6000000000000	4.0372576713562
1.8000000000000	4.0018706321716
2.0000000000000	3.9667277336121
2.2000000000000	3.9337153434753
2.4000000000000	3.9021775722504
2.6000000000000	3.8710112571716
2.8000000000000	3.8427414894104
3.0000000000000	3.8140654563904
#
#"x"	"Potential (Es)_0D_3 (y=30)"
#--------------------------------
0.0000000000000	4.1542315483093
0.20000000000000	4.1350293159485
0.40000000000000	4.0964388847351
0.60000000000000	4.0500426292419
0.80000000000000	3.9999880790710
1.0000000000000	3.9487371444702
1.2000000000000	3.9017033576965
1.4000000000000	3.8547167778015
1.6000000000000	3.8094408512115
1.8000000000000	3.7682623863220
2.0000000000000	3.7317924499512
2.2000000000000	3.6933186054230
2.4000000000000	3.6590006351471
2.6000000000000	3.6254963874817
2.8000000000000	3.5949177742004
3.0000000000000	3.5635826587677
#
#"x"	"Potential (Es)_0D_3 (y=33)"
#--------------------------------
0.0000000000000	3.9355697631836
0.20000000000000	3.9152224063873
0.40000000000000	3.8746795654297
0.60000000000000	3.8181052207947
0.80000000000000	3.7596888542175
1.0000000000000	3.7016372680664
1.2000000000000	3.6457798480988
1.4000000000000	3.5917246341705
1.6000000000000	3.5447919368744
1.8000000000000	3.4980030059814
2.0000000000000	3.4577164649963
2.2000000000000	3.4177720546722
2.4000000000000	3.3817296028137
2.6000000000000	3.3499217033386
2.8000000000000	3.3169124126434
3.0000000000000	3.2867908477783
#
#"x"	"Potential (Es)_0D_3 (y=36)"
#--------------------------------
0.0000000000000	3.2596471309662
0.20000000000000	3.2480912208557
0.40000000000000	3.2311053276062
0.60000000000000	3.2115273475647
0.80000000000000	3.1877310276031
1.0000000000000	3.1626107692719
1.2000000000000	3.1369111537933
1.4000000000000	3.1116635799408
