#
#"x"	"Potential (Es)_0D (y=9)"
#-----------------------------
0.0000000000000	12.611310005188
0.20000000000000	12.898130416870
0.40000000000000	13.486459732056
0.60000000000000	14.073701858521
0.80000000000000	14.543446540833
1.0000000000000	14.911478042603
1.2000000000000	15.182817459106
1.4000000000000	15.377488136292
1.6000000000000	15.518143653870
1.8000000000000	15.609966278076
2.0000000000000	15.663763999939
2.2000000000000	15.685033798218
2.4000000000000	15.683813095093
2.6000000000000	15.661612510681
2.8000000000000	15.617827415466
3.0000000000000	15.560876846313
#
#"x"	"Potential (Es)_0D (y=12)"
#------------------------------
0.0000000000000	9.8801441192627
0.20000000000000	9.9864282608032
0.40000000000000	10.213187217712
0.60000000000000	10.440487861633
0.80000000000000	10.642661094666
1.0000000000000	10.810067176819
1.2000000000000	10.946387290955
1.4000000000000	11.067708969116
1.6000000000000	11.154379844666
1.8000000000000	11.232275962830
2.0000000000000	11.289742469788
2.2000000000000	11.338654518127
2.4000000000000	11.374405860901
2.6000000000000	11.395333290100
2.8000000000000	11.412682533264
3.0000000000000	11.419966697693
#
#"x"	"Potential (Es)_0D (y=15)"
#------------------------------
0.0000000000000	8.7857055664062
0.20000000000000	8.8199520111084
0.40000000000000	8.8865566253662
0.60000000000000	8.9558725357056
0.80000000000000	9.0189762115479
1.0000000000000	9.0677328109741
1.2000000000000	9.1109704971313
1.4000000000000	9.1408472061157
1.6000000000000	9.1667098999023
1.8000000000000	9.1893062591553
2.0000000000000	9.2049169540405
2.2000000000000	9.2144441604614
2.4000000000000	9.2224054336548
2.6000000000000	9.2267665863037
2.8000000000000	9.2259149551392
3.0000000000000	9.2207784652710
#
#"x"	"Potential (Es)_0D (y=18)"
#------------------------------
0.0000000000000	8.1564798355103
0.20000000000000	8.1469039916992
0.40000000000000	8.1243715286255
0.60000000000000	8.1015167236328
0.80000000000000	8.0783834457397
1.0000000000000	8.0568609237671
1.2000000000000	8.0403509140015
1.4000000000000	8.0219402313232
1.6000000000000	8.0053491592407
1.8000000000000	7.9882974624634
2.0000000000000	7.9709711074829
2.2000000000000	7.9561223983765
2.4000000000000	7.9383373260498
2.6000000000000	7.9209213256836
2.8000000000000	7.9032220840454
3.0000000000000	7.8834772109985
#
#"x"	"Potential (Es)_0D (y=21)"
#------------------------------
0.0000000000000	7.7404227256775
0.20000000000000	7.6986665725708
0.40000000000000	7.6160345077515
0.60000000000000	7.5299139022827
0.80000000000000	7.4534769058228
1.0000000000000	7.3867311477661
1.2000000000000	7.3269352912903
1.4000000000000	7.2740659713745
1.6000000000000	7.2281026840210
1.8000000000000	7.1840729713440
2.0000000000000	7.1463193893433
2.2000000000000	7.1077413558960
2.4000000000000	7.0731801986694
2.6000000000000	7.0407876968384
2.8000000000000	7.0087671279907
3.0000000000000	6.9786005020142
#
#"x"	"Potential (Es)_0D (y=24)"
#------------------------------
0.0000000000000	7.4342579841614
0.20000000000000	7.3733015060425
0.40000000000000	7.2469024658203
0.60000000000000	7.1134271621704
0.80000000000000	6.9935841560364
1.0000000000000	6.8923149108887
1.2000000000000	6.8036813735962
1.4000000000000	6.7256383895874
1.6000000000000	6.6550178527832
1.8000000000000	6.5949563980103
2.0000000000000	6.5350046157837
2.2000000000000	6.4854536056519
2.4000000000000	6.4379115104675
2.6000000000000	6.3915529251099
2.8000000000000	6.3475294113159
3.0000000000000	6.3078432083130
#
#"x"	"Potential (Es)_0D (y=27)"
#------------------------------
0.0000000000000	7.1869301795959
0.20000000000000	7.1112823486328
0.40000000000000	6.9459218978882
0.60000000000000	6.7779846191406
0.80000000000000	6.6278715133667
1.0000000000000	6.4967718124390
1.2000000000000	6.3842539787292
1.4000000000000	6.2838501930237
1.6000000000000	6.1967711448669
1.8000000000000	6.1194529533386
2.0000000000000	6.0467743873596
2.2000000000000	5.9818472862244
2.4000000000000	5.9197349548340
2.6000000000000	5.8651642799377
2.8000000000000	5.8153133392334
3.0000000000000	5.7673549652100
#
#"x"	"Potential (Es)_0D (y=30)"
#------------------------------
0.0000000000000	6.9628438949585
0.20000000000000	6.8711423873901
0.40000000000000	6.6737875938416
0.60000000000000	6.4701929092407
0.80000000000000	6.2885513305664
1.0000000000000	6.1322445869446
1.2000000000000	5.9993634223938
1.4000000000000	5.8844699859619
2.0000000000000	5.6020474433899
2.2000000000000	5.5266156196594
2.4000000000000	5.4609789848328
2.6000000000000	5.3944859504700
2.8000000000000	5.3339571952820
3.0000000000000	5.2784085273743
#
#"x"	"Potential (Es)_0D (y=33)"
#------------------------------
0.0000000000000	6.6836853027344
0.20000000000000	6.5695562362671
0.40000000000000	6.3351712226868
0.60000000000000	6.0918807983398
0.80000000000000	5.8737368583679
1.0000000000000	5.6915631294250
1.2000000000000	5.5357966423035
1.4000000000000	5.4018664360046
2.0000000000000	5.0880508422852
2.2000000000000	5.0051202774048
2.4000000000000	4.9326825141907
2.6000000000000	4.8633966445923
2.8000000000000	4.8016633987427
3.0000000000000	4.7464003562927
#
#"x"	"Potential (Es)_0D (y=36)"
#------------------------------
0.0000000000000	4.6638569831848
0.20000000000000	4.6506743431091
0.40000000000000	4.6194901466370
0.60000000000000	4.5732083320618
0.80000000000000	4.5190196037292
1.0000000000000	4.4665751457214
1.2000000000000	4.4127230644226
1.4000000000000	4.3611297607422
1.6000000000000	4.3187298774719
1.8000000000000	4.2720227241516
2.0000000000000	4.2286663055420
2.2000000000000	4.1905531883240
2.4000000000000	4.1524825096130
2.6000000000000	4.1194796562195
2.8000000000000	4.0861315727234
3.0000000000000	4.0541992187500
