#
#"x_pos"	"Ant1 (y_pos=-3)"
#-------------------------
-3.0000000000000	0.099127039313316
-2.0000000000000	0.11286039650440
-1.0000000000000	0.12652391195297
0.0000000000000	0.13623282313347
1.0000000000000	0.13812683522701
2.0000000000000	0.13544696569443
3.0000000000000	0.12834332883358
#
#"x_pos"	"Ant1 (y_pos=-2)"
#-------------------------
-3.0000000000000	0.11271284520626
-2.0000000000000	0.13366483151913
-1.0000000000000	0.15452779829502
0.0000000000000	0.16932936012745
1.0000000000000	0.17714382708073
2.0000000000000	0.17534521222115
3.0000000000000	0.16159947216511
#
#"x_pos"	"Ant1 (y_pos=-1)"
#-------------------------
-3.0000000000000	0.12793871760368
-2.0000000000000	0.15616741776466
-1.0000000000000	0.19050692021847
0.0000000000000	0.21899645030499
1.0000000000000	0.23641608655453
2.0000000000000	0.23725172877312
3.0000000000000	0.21707805991173
#
#"x_pos"	"Ant1 (y_pos=0)"
#------------------------
-3.0000000000000	0.13640221953392
-2.0000000000000	0.17353212833405
-1.0000000000000	0.21968601644039
0.0000000000000	0.26928207278252
1.0000000000000	0.32834056019783
2.0000000000000	0.34711739420891
3.0000000000000	0.29584383964539
#
#"x_pos"	"Ant1 (y_pos=1)"
#------------------------
-3.0000000000000	0.13950164616108
-2.0000000000000	0.17716586589813
-1.0000000000000	0.23169185221195
0.0000000000000	0.31460478901863
1.0000000000000	0.45132431387901
2.0000000000000	0.50219595432281
3.0000000000000	0.38870364427567
#
#"x_pos"	"Ant1 (y_pos=2)"
#------------------------
-3.0000000000000	0.13350610435009
-2.0000000000000	0.16941174864769
-1.0000000000000	0.22449086606503
0.0000000000000	0.32102105021477
1.0000000000000	0.46621230244637
2.0000000000000	0.56206762790680
3.0000000000000	0.42820611596107
#
#"x_pos"	"Ant1 (y_pos=3)"
#------------------------
-3.0000000000000	0.12687803804874
-2.0000000000000	0.15895913541317
-1.0000000000000	0.20540656149387
0.0000000000000	0.27524921298027
1.0000000000000	0.35448798537254
2.0000000000000	0.40731331706047
3.0000000000000	0.34460636973381
3.0000000000000	0.34460636973381
