#
#"x_pos"	"Body (y_pos=-2.5)"
#---------------------------
-2.5000000000000	0.17543910443783
-1.5000000000000	0.20696069300175
-0.50000000000000	0.22805421054363
0.50000000000000	0.22773976624012
1.5000000000000	0.20688652992249
2.5000000000000	0.17469348013401
#
#"x_pos"	"Body (y_pos=-1.5)"
#---------------------------
-2.5000000000000	0.21865302324295
-1.5000000000000	0.26745289564133
-0.50000000000000	0.31204596161842
0.50000000000000	0.31374239921570
1.5000000000000	0.26683831214905
2.5000000000000	0.21600914001465
#
#"x_pos"	"Body (y_pos=-0.5)"
#---------------------------
-2.5000000000000	0.25881209969521
-1.5000000000000	0.33459159731865
-0.50000000000000	0.47436520457268
0.50000000000000	0.47744888067245
1.5000000000000	0.33425614237785
2.5000000000000	0.25865510106087
#
#"x_pos"	"Body (y_pos=0.5)"
#--------------------------
-2.5000000000000	0.25849726796150
-1.5000000000000	0.33629462122917
-0.50000000000000	0.48607495427132
0.50000000000000	0.48375493288040
1.5000000000000	0.33554452657700
2.5000000000000	0.25852391123772
#
#"x_pos"	"Body (y_pos=1.5)"
#--------------------------
-2.5000000000000	0.21841910481453
-1.5000000000000	0.26759940385818
-0.50000000000000	0.31421592831612
0.50000000000000	0.31344369053841
1.5000000000000	0.26812121272087
2.5000000000000	0.21701191365719
#
#"x_pos"	"Body (y_pos=2.5)"
#--------------------------
-2.5000000000000	0.17588208615780
-1.5000000000000	0.20577810704708
-0.50000000000000	0.22670777142048
0.50000000000000	0.22514930367470
1.5000000000000	0.20592734217644
2.5000000000000	0.17485202848911
2.5000000000000	0.17485202848911
