#
#"x_pos"	"Body (y_pos=-2.75)"
#----------------------------
-2.7500000000000	0.16773726046085
-2.2500000000000	0.18343709409237
-1.7500000000000	0.19864043593407
-1.2500000000000	0.21097227931023
-0.75000000000000	0.21981789171696
-0.25000000000000	0.22536140680313
#
#"x_pos"	"Body (y_pos=-2.25)"
#----------------------------
-2.7500000000000	0.18568271398544
-2.2500000000000	0.21093738079071
-1.7500000000000	0.23074275255203
-1.2500000000000	0.24582146108150
-0.75000000000000	0.25842887163162
-0.25000000000000	0.26835456490517
#
#"x_pos"	"Body (y_pos=-1.75)"
#----------------------------
-2.7500000000000	0.20591743290424
-2.2500000000000	0.23644830286503
-1.7500000000000	0.26404163241386
-1.2500000000000	0.28794059157372
-0.75000000000000	0.31281286478043
-0.25000000000000	0.32780882716179
#
#"x_pos"	"Body (y_pos=-1.25)"
#----------------------------
-2.7500000000000	0.22468742728233
-2.2500000000000	0.26093122363091
-1.7500000000000	0.29716876149178
-1.2500000000000	0.33679524064064
-0.75000000000000	0.38595798611641
-0.25000000000000	0.41623976826668
#
#"x_pos"	"Body (y_pos=-0.75)"
#----------------------------
-2.7500000000000	0.24097971618176
-2.2500000000000	0.28473064303398
-1.7500000000000	0.33247321844101
-1.2500000000000	0.39598265290260
-0.75000000000000	0.47070649266243
#
#"x_pos"	"Body (y_pos=-0.25)"
#----------------------------
-2.7500000000000	0.25128346681595
-2.2500000000000	0.30181306600571
-1.7500000000000	0.35626202821732
-1.2500000000000	0.43443325161934
#
#"x_pos"	"Body (y_pos=0.25)"
#---------------------------
-2.7500000000000	0.24970608949661
-2.2500000000000	0.30197837948799
-1.7500000000000	0.35781499743462
-1.2500000000000	0.43692114949226
#
#"x_pos"	"Body (y_pos=0.75)"
#---------------------------
-2.7500000000000	0.24296137690544
-2.2500000000000	0.28546613454819
-1.7500000000000	0.33473324775696
-1.2500000000000	0.40115672349930
-0.75000000000000	0.47579094767570
#
#"x_pos"	"Body (y_pos=1.25)"
#---------------------------
-2.7500000000000	0.22623896598816
-2.2500000000000	0.26241463422775
-1.7500000000000	0.30001959204674
-1.2500000000000	0.34130901098251
-0.75000000000000	0.39344826340675
-0.25000000000000	0.42852941155434
#
#"x_pos"	"Body (y_pos=1.75)"
#---------------------------
-2.7500000000000	0.20763295888901
-2.2500000000000	0.23874615132809
-1.7500000000000	0.26662293076515
-1.2500000000000	0.29239970445633
-0.75000000000000	0.31848448514938
-0.25000000000000	0.33556038141251
#
#"x_pos"	"Body (y_pos=2.25)"
#---------------------------
-2.7500000000000	0.18639184534550
-2.2500000000000	0.21307094395161
-1.7500000000000	0.23169137537479
-1.2500000000000	0.24757009744644
-0.75000000000000	0.26376375555992
#
#"x_pos"	"Body (y_pos=2.75)"
#---------------------------
-2.7500000000000	0.16926410794258
-1.7500000000000	0.20025588572025
-1.2500000000000	0.21266435086727
-0.75000000000000	0.22393587231636
