#
#"x_pos"	"Ant2 (y_pos=-2.75)"
#----------------------------
0.25000000000000	0.15805290639400
0.75000000000000	0.15290232002735
1.2500000000000	0.14710356295109
1.7500000000000	0.13742926716805
2.2500000000000	0.12901948392391
2.7500000000000	0.11937674134970
#
#"x_pos"	"Ant2 (y_pos=-2.25)"
#----------------------------
0.25000000000000	0.18174766004086
0.75000000000000	0.17484392225742
1.2500000000000	0.16587080061436
1.7500000000000	0.15465907752514
2.2500000000000	0.14297352731228
2.7500000000000	0.12939693033695
#
#"x_pos"	"Ant2 (y_pos=-1.75)"
#----------------------------
0.25000000000000	0.21389505267143
0.75000000000000	0.20353206992149
1.2500000000000	0.18943472206593
1.7500000000000	0.17543540894985
2.2500000000000	0.15928472578526
2.7500000000000	0.14139117300510
#
#"x_pos"	"Ant2 (y_pos=-1.25)"
#----------------------------
0.25000000000000	0.26254695653915
0.75000000000000	0.24435816705227
1.2500000000000	0.21678957343102
1.7500000000000	0.19499626755714
2.2500000000000	0.17431607842445
2.7500000000000	0.15254324674606
#
#"x_pos"	"Ant2 (y_pos=-0.75)"
#----------------------------
0.75000000000000	0.29028061032295
1.2500000000000	0.25030708312988
1.7500000000000	0.21484865248203
2.2500000000000	0.18782795965672
2.7500000000000	0.16401703655720
#
#"x_pos"	"Ant2 (y_pos=-0.25)"
#----------------------------
1.2500000000000	0.27215430140495
1.7500000000000	0.23014852404594
2.2500000000000	0.19912314414978
2.7500000000000	0.17106427252293
#
#"x_pos"	"Ant2 (y_pos=0.25)"
#---------------------------
1.2500000000000	0.27465990185738
1.7500000000000	0.23483821749687
2.2500000000000	0.20269457995892
2.7500000000000	0.17515181005001
#
#"x_pos"	"Ant2 (y_pos=0.75)"
#---------------------------
0.75000000000000	0.29662677645683
1.2500000000000	0.26257821917534
1.7500000000000	0.22716750204563
2.2500000000000	0.19850941002369
2.7500000000000	0.17263603210449
#
#"x_pos"	"Ant2 (y_pos=1.25)"
#---------------------------
0.25000000000000	0.30890133976936
0.75000000000000	0.27934703230858
1.2500000000000	0.24475154280663
1.7500000000000	0.21633909642696
2.2500000000000	0.19034203886986
2.7500000000000	0.16611728072166
#
#"x_pos"	"Ant2 (y_pos=1.75)"
#---------------------------
0.25000000000000	0.32286188006401
0.75000000000000	0.27043783664703
1.2500000000000	0.23407435417175
1.7500000000000	0.20761084556580
2.2500000000000	0.18253897130489
2.7500000000000	0.15859092772007
#
#"x_pos"	"Ant2 (y_pos=2.25)"
#---------------------------
-0.25000000000000	0.40213990211487
0.25000000000000	0.32072407007217
0.75000000000000	0.26302388310432
1.2500000000000	0.22314313054085
1.7500000000000	0.19656386971474
2.2500000000000	0.17252458631992
2.7500000000000	0.15119336545467
#
#"x_pos"	"Ant2 (y_pos=2.75)"
#---------------------------
-0.25000000000000	0.35207363963127
-0.25000000000000	0.35207363963127
0.25000000000000	0.29111534357071
0.75000000000000	0.24593774974346
1.2500000000000	0.21099440753460
1.7500000000000	0.18466007709503
2.2500000000000	0.16275571286678
2.7500000000000	0.14493270218372
