#
#"x"	"Potential (Es)_0D_1 (y=0)"
#-------------------------------
0.0000000000000	4.8161258697510
6.0000000000000	5.2852859497070
12.000000000000	5.6858134269714
18.000000000000	5.9393763542175
24.000000000000	5.9664311408997
30.000000000000	5.7460513114929
36.000000000000	5.3227815628052
42.000000000000	4.7381525039673
48.000000000000	4.1475434303284
#
#"x"	"Potential (Es)_0D_1 (y=6)"
#-------------------------------
0.0000000000000	4.7136845588684
6.0000000000000	5.1586394309998
12.000000000000	5.5373349189758
18.000000000000	5.7726492881775
24.000000000000	5.7955923080444
30.000000000000	5.5890927314758
36.000000000000	5.1925702095032
42.000000000000	4.6394186019897
48.000000000000	4.0767564773560
#
#"x"	"Potential (Es)_0D_1 (y=12)"
#--------------------------------
0.0000000000000	4.4399304389954
6.0000000000000	4.8278050422668
12.000000000000	5.1479735374451
18.000000000000	5.3396100997925
24.000000000000	5.3550877571106
30.000000000000	5.1816182136536
36.000000000000	4.8496031761169
42.000000000000	4.3760867118835
48.000000000000	3.8830301761627
#
#"x"	"Potential (Es)_0D_1 (y=18)"
#--------------------------------
0.0000000000000	4.0745315551758
6.0000000000000	4.3894762992859
12.000000000000	4.6386032104492
18.000000000000	4.7824864387512
24.000000000000	4.7896394729614
30.000000000000	4.6534638404846
36.000000000000	4.3940739631653
42.000000000000	4.0162248611450
48.000000000000	3.6112153530121
#
#"x"	"Potential (Es)_0D_1 (y=24)"
#--------------------------------
0.0000000000000	3.6790964603424
6.0000000000000	3.9241337776184
12.000000000000	4.1105794906616
18.000000000000	4.2134232521057
24.000000000000	4.2139949798584
30.000000000000	4.1095466613770
36.000000000000	3.9128165245056
42.000000000000	3.6243059635162
48.000000000000	3.3040058612823
#
#"x"	"Potential (Es)_0D_1 (y=30)"
#--------------------------------
0.0000000000000	3.2939698696136
6.0000000000000	3.4808881282806
12.000000000000	3.6179165840149
18.000000000000	3.6899189949036
24.000000000000	3.6856484413147
30.000000000000	3.6051828861237
36.000000000000	3.4560923576355
42.000000000000	3.2412188053131
48.000000000000	2.9938511848450
#
#"x"	"Potential (Es)_0D_1 (y=36)"
#--------------------------------
0.0000000000000	2.9392607212067
6.0000000000000	3.0806593894958
12.000000000000	3.1809103488922
18.000000000000	3.2304842472076
24.000000000000	3.2240641117096
30.000000000000	3.1612062454224
36.000000000000	3.0478060245514
42.000000000000	2.8892533779144
48.000000000000	2.7014989852905
#
#"x"	"Potential (Es)_0D_1 (y=42)"
#--------------------------------
0.0000000000000	2.6231348514557
6.0000000000000	2.7306220531464
12.000000000000	2.8049128055573
18.000000000000	2.8397130966187
24.000000000000	2.8318729400635
30.000000000000	2.7811975479126
36.000000000000	2.6929380893707
42.000000000000	2.5774538516998
48.000000000000	2.4344995021820
#
#"x"	"Potential (Es)_0D_1 (y=48)"
#--------------------------------
0.0000000000000	2.3434703350067
6.0000000000000	2.4254918098450
12.000000000000	2.4809701442719
18.000000000000	2.5057065486908
24.000000000000	2.4978435039520
30.000000000000	2.4562723636627
36.000000000000	2.3867814540863
42.000000000000	2.3024106025696
48.000000000000	2.1942248344421
