#
#"x"	"Potential (Es)_0D_3 (y=30)"
#--------------------------------
2.4000000000000	1.8328121900558
2.6000000000000	1.8159126043320
2.8000000000000	1.7997390031815
3.0000000000000	1.7844742536545
#
#"x"	"Potential (Es)_0D_3 (y=33)"
#--------------------------------
2.4000000000000	1.6951426267624
2.6000000000000	1.6775380373001
2.8000000000000	1.6611737012863
3.0000000000000	1.6456699371338
