#
#"x"	"Potential (Es)_0D (y=30)"
#------------------------------
2.4000000000000	2.7213022708893
2.6000000000000	2.6904542446136
2.8000000000000	2.6613867282867
3.0000000000000	2.6345422267914
#
#"x"	"Potential (Es)_0D (y=33)"
#------------------------------
2.4000000000000	2.4585497379303
2.6000000000000	2.4259011745453
2.8000000000000	2.3959124088287
3.0000000000000	2.3686404228210
