#
#"x"	"Potential (Es)_0D_2 (y=0)"
#-------------------------------
5.0000000000000	8.1904458999634
7.0000000000000	7.4594244956970
8.0000000000000	7.1255178451538
#
#"x"	"Potential (Es)_0D_2 (y=1)"
#-------------------------------
5.0000000000000	8.1338682174683
6.0000000000000	7.7305417060852
7.0000000000000	7.3513703346252
8.0000000000000	6.9982137680054
9.0000000000000	6.6804184913635
#
#"x"	"Potential (Es)_0D_2 (y=2)"
#-------------------------------
5.0000000000000	7.9874963760376
6.0000000000000	7.5821442604065
7.0000000000000	7.2013449668884
8.0000000000000	6.8507170677185
9.0000000000000	6.5320043563843
#
#"x"	"Potential (Es)_0D_2 (y=3)"
#-------------------------------
4.0000000000000	8.1538820266724
5.0000000000000	7.7585973739624
7.0000000000000	7.0100374221802
8.0000000000000	6.6714868545532
#
#"x"	"Potential (Es)_0D_2 (y=4)"
#-------------------------------
3.0000000000000	8.1464500427246
4.0000000000000	7.8147668838501
5.0000000000000	7.4634165763855
6.0000000000000	7.1149716377258
7.0000000000000	6.7823019027710
8.0000000000000	6.4684562683105
9.0000000000000	6.1807346343994
#
#"x"	"Potential (Es)_0D_2 (y=5)"
#-------------------------------
0.0000000000000	8.1363239288330
1.0000000000000	8.0878524780273
2.0000000000000	7.9359350204468
3.0000000000000	7.7069177627563
4.0000000000000	7.4312705993652
5.0000000000000	7.1280279159546
6.0000000000000	6.8261027336121
7.0000000000000	6.5262985229492
8.0000000000000	6.2459721565247
9.0000000000000	5.9814586639404
#
#"x"	"Potential (Es)_0D_2 (y=6)"
#-------------------------------
1.0000000000000	7.5549206733704
2.0000000000000	7.4349131584167
4.0000000000000	7.0272178649902
5.0000000000000	6.7747263908386
7.0000000000000	6.2578396797180
8.0000000000000	6.0052938461304
#
#"x"	"Potential (Es)_0D_2 (y=7)"
#-------------------------------
0.0000000000000	7.0735316276550
1.0000000000000	7.0445218086243
2.0000000000000	6.9481725692749
3.0000000000000	6.8060598373413
4.0000000000000	6.6258273124695
5.0000000000000	6.4204411506653
6.0000000000000	6.2018623352051
7.0000000000000	5.9781336784363
8.0000000000000	5.7613263130188
9.0000000000000	5.5525937080383
#
#"x"	"Potential (Es)_0D_2 (y=8)"
#-------------------------------
0.0000000000000	6.5918607711792
1.0000000000000	6.5681195259094
2.0000000000000	6.4927592277527
3.0000000000000	6.3817858695984
4.0000000000000	6.2380824089050
5.0000000000000	6.0700793266296
6.0000000000000	5.8902058601379
7.0000000000000	5.7053909301758
8.0000000000000	5.5188698768616
9.0000000000000	5.3367843627930
#
#"x"	"Potential (Es)_0D_2 (y=9)"
#-------------------------------
1.0000000000000	6.1292839050293
2.0000000000000	6.0777354240417
4.0000000000000	5.8755111694336
5.0000000000000	5.7424798011780
7.0000000000000	5.4373888969421
8.0000000000000	5.2778453826904
