#
#"x"	"Potential (Es)_0D (y=0)"
#-----------------------------
5.0000000000000	19.806306838989
7.0000000000000	16.515907287598
8.0000000000000	15.079310417175
#
#"x"	"Potential (Es)_0D (y=1)"
#-----------------------------
5.0000000000000	19.636487960815
6.0000000000000	17.965484619141
7.0000000000000	16.411643981934
8.0000000000000	14.999039649963
9.0000000000000	13.736704826355
#
#"x"	"Potential (Es)_0D (y=2)"
#-----------------------------
5.0000000000000	19.138771057129
6.0000000000000	17.578588485718
7.0000000000000	16.110124588013
8.0000000000000	14.767719268799
9.0000000000000	13.559114456177
#
#"x"	"Potential (Es)_0D (y=3)"
#-----------------------------
4.0000000000000	19.807802200317
5.0000000000000	18.389020919800
7.0000000000000	15.642212867737
8.0000000000000	14.400975227356
#
#"x"	"Potential (Es)_0D (y=4)"
#-----------------------------
3.0000000000000	19.806848526001
4.0000000000000	18.680757522583
5.0000000000000	17.464109420776
6.0000000000000	16.232774734497
7.0000000000000	15.045310020447
8.0000000000000	13.927195549011
9.0000000000000	12.899230957031
#
#"x"	"Potential (Es)_0D (y=5)"
#-----------------------------
0.0000000000000	19.806200027466
1.0000000000000	19.636919021606
2.0000000000000	19.138582229614
3.0000000000000	18.389265060425
4.0000000000000	17.463710784912
5.0000000000000	16.443698883057
6.0000000000000	15.393799781799
7.0000000000000	14.360922813416
8.0000000000000	13.375990867615
9.0000000000000	12.455288887024
#
#"x"	"Potential (Es)_0D (y=6)"
#-----------------------------
1.0000000000000	17.965988159180
2.0000000000000	17.578754425049
4.0000000000000	16.233367919922
5.0000000000000	15.393621444702
7.0000000000000	13.631838798523
8.0000000000000	12.775489807129
#
#"x"	"Potential (Es)_0D (y=7)"
#-----------------------------
0.0000000000000	16.515897750854
1.0000000000000	16.411039352417
2.0000000000000	16.110879898071
3.0000000000000	15.641523361206
4.0000000000000	15.044431686401
5.0000000000000	14.360723495483
6.0000000000000	13.631523132324
7.0000000000000	12.886917114258
8.0000000000000	12.152426719666
9.0000000000000	11.444946289062
#
#"x"	"Potential (Es)_0D (y=8)"
#-----------------------------
0.0000000000000	15.079393386841
1.0000000000000	14.998169898987
2.0000000000000	14.767290115356
3.0000000000000	14.401124000549
4.0000000000000	13.927171707153
5.0000000000000	13.374521255493
6.0000000000000	12.775690078735
7.0000000000000	12.151941299438
8.0000000000000	11.527131080627
9.0000000000000	10.915072441101
#
#"x"	"Potential (Es)_0D (y=9)"
#-----------------------------
1.0000000000000	13.736272811890
2.0000000000000	13.559633255005
4.0000000000000	12.899034500122
5.0000000000000	12.455664634705
7.0000000000000	11.444711685181
8.0000000000000	10.915007591248
