#
#"x"	"Potential (Es)_0D_3 (y=0.2)"
#---------------------------------
9.0000000000000	2.4516985416412
12.000000000000	2.1790993213654
#
#"x"	"Potential (Es)_0D_3 (y=0.4)"
#---------------------------------
9.0000000000000	2.7837426662445
12.000000000000	2.3093001842499
#
#"x"	"Potential (Es)_0D_3 (y=0.6)"
#---------------------------------
9.0000000000000	2.9725370407104
12.000000000000	2.3890440464020
#
#"x"	"Potential (Es)_0D_3 (y=0.8)"
#---------------------------------
9.0000000000000	3.0951750278473
12.000000000000	2.4398488998413
#
#"x"	"Potential (Es)_0D_3 (y=1.2)"
#---------------------------------
9.0000000000000	3.2412753105164
12.000000000000	2.5126287937164
#
#"x"	"Potential (Es)_0D_3 (y=1.4)"
#---------------------------------
9.0000000000000	3.2856304645538
12.000000000000	2.5390360355377
#
#"x"	"Potential (Es)_0D_3 (y=1.6)"
#---------------------------------
9.0000000000000	3.3144400119781
12.000000000000	2.5603888034821
#
#"x"	"Potential (Es)_0D_3 (y=1.8)"
#---------------------------------
9.0000000000000	3.3361353874207
12.000000000000	2.5754477977753
#
#"x"	"Potential (Es)_0D_3 (y=2.2)"
#---------------------------------
9.0000000000000	3.3570017814636
12.000000000000	2.6005547046661
#
#"x"	"Potential (Es)_0D_3 (y=2.4)"
#---------------------------------
9.0000000000000	3.3587801456451
#
#"x"	"Potential (Es)_0D_3 (y=2.6)"
#---------------------------------
9.0000000000000	3.3566737174988
#
#"x"	"Potential (Es)_0D_3 (y=2.8)"
#---------------------------------
9.0000000000000	3.3534047603607
