#
#"x"	"Potential (Es)_0D (y=0.2)"
#-------------------------------
15.000000000000	4.2907180786133
18.000000000000	4.1112365722656
21.000000000000	3.9931178092957
24.000000000000	3.9059031009674
27.000000000000	3.8364460468292
30.000000000000	3.7723515033722
33.000000000000	3.6926090717316
36.000000000000	2.3532576560974
#
#"x"	"Potential (Es)_0D (y=0.4)"
#-------------------------------
15.000000000000	4.3929667472839
18.000000000000	4.0802965164185
21.000000000000	3.8706054687500
24.000000000000	3.7175171375275
27.000000000000	3.5980188846588
30.000000000000	3.4836361408234
33.000000000000	3.3443455696106
36.000000000000	2.3316214084625
#
#"x"	"Potential (Es)_0D (y=0.6)"
#-------------------------------
15.000000000000	4.4548411369324
18.000000000000	4.0579948425293
21.000000000000	3.7982907295227
24.000000000000	3.6067280769348
27.000000000000	3.4551723003387
30.000000000000	3.3145947456360
33.000000000000	3.1378850936890
36.000000000000	2.3044931888580
#
#"x"	"Potential (Es)_0D (y=0.8)"
#-------------------------------
15.000000000000	4.4921464920044
18.000000000000	4.0444302558899
21.000000000000	3.7468950748444
24.000000000000	3.5281128883362
27.000000000000	3.3535695075989
30.000000000000	3.1928029060364
33.000000000000	2.9935836791992
36.000000000000	2.2751505374908
#
#"x"	"Potential (Es)_0D (y=1.2)"
#-------------------------------
15.000000000000	4.5470919609070
18.000000000000	4.0230283737183
21.000000000000	3.6735341548920
24.000000000000	3.4172782897949
27.000000000000	3.2114222049713
30.000000000000	3.0250937938690
33.000000000000	2.7966921329498
36.000000000000	2.2151162624359
#
#"x"	"Potential (Es)_0D (y=1.4)"
#-------------------------------
15.000000000000	4.5690183639526
18.000000000000	4.0130515098572
21.000000000000	3.6447699069977
24.000000000000	3.3748974800110
27.000000000000	3.1577439308167
30.000000000000	2.9598257541656
33.000000000000	2.7211153507233
36.000000000000	2.1885261535645
#
#"x"	"Potential (Es)_0D (y=1.6)"
#-------------------------------
15.000000000000	4.5803542137146
18.000000000000	4.0052781105042
21.000000000000	3.6196453571320
24.000000000000	3.3371396064758
27.000000000000	3.1103303432465
30.000000000000	2.9064080715179
33.000000000000	2.6565999984741
36.000000000000	2.1624543666840
#
#"x"	"Potential (Es)_0D (y=1.8)"
#-------------------------------
15.000000000000	4.5915865898132
18.000000000000	3.9960920810699
21.000000000000	3.5968716144562
24.000000000000	3.3052754402161
27.000000000000	3.0694825649261
30.000000000000	2.8547842502594
33.000000000000	2.6025216579437
36.000000000000	2.1391031742096
#
#"x"	"Potential (Es)_0D (y=2.2)"
#-------------------------------
15.000000000000	4.6092214584351
18.000000000000	3.9792842864990
21.000000000000	3.5584652423859
24.000000000000	3.2485394477844
27.000000000000	2.9985828399658
30.000000000000	2.7727401256561
33.000000000000	2.5117528438568
36.000000000000	2.0972800254822
#
#"x"	"Potential (Es)_0D (y=2.4)"
#-------------------------------
15.000000000000	4.6102442741394
18.000000000000	3.9703924655914
21.000000000000	3.5395665168762
24.000000000000	3.2226815223694
27.000000000000	2.9677426815033
30.000000000000	2.7349131107330
33.000000000000	2.4740045070648
36.000000000000	2.0782186985016
#
#"x"	"Potential (Es)_0D (y=2.6)"
#-------------------------------
15.000000000000	4.6127920150757
18.000000000000	3.9617075920105
21.000000000000	3.5230140686035
24.000000000000	3.1996619701385
27.000000000000	2.9403007030487
30.000000000000	2.7019650936127
33.000000000000	2.4381964206696
36.000000000000	2.0608117580414
#
#"x"	"Potential (Es)_0D (y=2.8)"
#-------------------------------
15.000000000000	4.6117329597473
18.000000000000	3.9527096748352
21.000000000000	3.5069541931152
24.000000000000	3.1780228614807
27.000000000000	2.9116933345795
30.000000000000	2.6729395389557
33.000000000000	2.4067387580872
36.000000000000	2.0463867187500
