#
#"x"	"Potential (Es)_0D_4 (y=0.2)"
#---------------------------------
9.0000000000000	7.2177414894104
12.000000000000	6.1738762855530
15.000000000000	5.5175089836121
18.000000000000	5.0311188697815
21.000000000000	4.6407699584961
24.000000000000	4.3075222969055
27.000000000000	4.0128912925720
30.000000000000	3.7326481342316
33.000000000000	3.4277083873749
36.000000000000	3.0519983768463
#
#"x"	"Potential (Es)_0D_4 (y=0.4)"
#---------------------------------
9.0000000000000	7.2380270957947
12.000000000000	6.2031097412109
15.000000000000	5.5460619926453
18.000000000000	5.0546374320984
21.000000000000	4.6582407951355
24.000000000000	4.3221039772034
27.000000000000	4.0236401557922
30.000000000000	3.7404217720032
33.000000000000	3.4348423480988
36.000000000000	3.0584535598755
#
#"x"	"Potential (Es)_0D_4 (y=0.6)"
#---------------------------------
9.0000000000000	7.2578806877136
12.000000000000	6.2347989082336
15.000000000000	5.5735673904419
18.000000000000	5.0768933296204
21.000000000000	4.6763691902161
24.000000000000	4.3360266685486
27.000000000000	4.0341591835022
30.000000000000	3.7478797435760
33.000000000000	3.4404950141907
36.000000000000	3.0641596317291
#
#"x"	"Potential (Es)_0D_4 (y=0.8)"
#---------------------------------
9.0000000000000	7.2793798446655
12.000000000000	6.2666277885437
15.000000000000	5.6016154289246
18.000000000000	5.1013951301575
21.000000000000	4.6938991546631
24.000000000000	4.3487877845764
27.000000000000	4.0436768531799
30.000000000000	3.7550482749939
33.000000000000	3.4447522163391
36.000000000000	3.0687332153320
#
#"x"	"Potential (Es)_0D_4 (y=1.2)"
#---------------------------------
9.0000000000000	7.3243212699890
12.000000000000	6.3348507881165
15.000000000000	5.6620793342590
18.000000000000	5.1484417915344
21.000000000000	4.7297854423523
24.000000000000	4.3741335868835
27.000000000000	4.0594525337219
30.000000000000	3.7638926506042
33.000000000000	3.4495110511780
36.000000000000	3.0757055282593
#
#"x"	"Potential (Es)_0D_4 (y=1.4)"
#---------------------------------
9.0000000000000	7.3446497917175
12.000000000000	6.3681659698486
15.000000000000	5.6913871765137
18.000000000000	5.1719880104065
21.000000000000	4.7466502189636
24.000000000000	4.3861765861511
27.000000000000	4.0661215782166
30.000000000000	3.7675464153290
33.000000000000	3.4503910541534
36.000000000000	3.0792078971863
#
#"x"	"Potential (Es)_0D_4 (y=1.6)"
#---------------------------------
9.0000000000000	7.3668365478516
12.000000000000	6.4039721488953
15.000000000000	5.7230501174927
18.000000000000	5.1959557533264
21.000000000000	4.7648730278015
24.000000000000	4.3986115455627
27.000000000000	4.0741772651672
30.000000000000	3.7694127559662
33.000000000000	3.4506371021271
36.000000000000	3.0812325477600
#
#"x"	"Potential (Es)_0D_4 (y=1.8)"
#---------------------------------
9.0000000000000	7.3938803672791
12.000000000000	6.4418535232544
15.000000000000	5.7552151679993
18.000000000000	5.2215619087219
21.000000000000	4.7822184562683
24.000000000000	4.4095721244812
27.000000000000	4.0808072090149
30.000000000000	3.7725913524628
33.000000000000	3.4502637386322
36.000000000000	3.0832328796387
#
#"x"	"Potential (Es)_0D_4 (y=2.2)"
#---------------------------------
9.0000000000000	7.4400086402893
12.000000000000	6.5155382156372
15.000000000000	5.8185887336731
18.000000000000	5.2686858177185
21.000000000000	4.8159694671631
24.000000000000	4.4306249618530
27.000000000000	4.0924420356750
30.000000000000	3.7758886814117
33.000000000000	3.4498844146729
36.000000000000	3.0867176055908
#
#"x"	"Potential (Es)_0D_4 (y=2.4)"
#---------------------------------
9.0000000000000	7.4671554565430
12.000000000000	6.5517263412476
15.000000000000	5.8493504524231
18.000000000000	5.2933754920959
21.000000000000	4.8323121070862
24.000000000000	4.4417266845703
27.000000000000	4.0970282554626
30.000000000000	3.7764167785645
33.000000000000	3.4486558437347
36.000000000000	3.0880320072174
#
#"x"	"Potential (Es)_0D_4 (y=2.6)"
#---------------------------------
9.0000000000000	7.4917745590210
12.000000000000	6.5898604393005
15.000000000000	5.8835444450378
18.000000000000	5.3181300163269
21.000000000000	4.8499569892883
24.000000000000	4.4529910087585
27.000000000000	4.1021466255188
30.000000000000	3.7777848243713
33.000000000000	3.4471323490143
36.000000000000	3.0893530845642
#
#"x"	"Potential (Es)_0D_4 (y=2.8)"
#---------------------------------
9.0000000000000	7.5204625129700
12.000000000000	6.6307382583618
15.000000000000	5.9156184196472
18.000000000000	5.3430132865906
21.000000000000	4.8670125007629
24.000000000000	4.4638900756836
27.000000000000	4.1073317527771
30.000000000000	3.7790637016296
33.000000000000	3.4462044239044
36.000000000000	3.0897848606110
