#
#"x"	"Potential (Es)_0D_2 (y=0)"
#-------------------------------
8.0000000000000	7.7073941230774
#
#"x"	"Potential (Es)_0D_2 (y=1)"
#-------------------------------
7.0000000000000	8.2555704116821
8.0000000000000	7.6193337440491
#
#"x"	"Potential (Es)_0D_2 (y=2)"
#-------------------------------
7.0000000000000	8.1067810058594
8.0000000000000	7.4851412773132
#
#"x"	"Potential (Es)_0D_2 (y=3)"
#-------------------------------
7.0000000000000	7.8652048110962
8.0000000000000	7.2919259071350
#
#"x"	"Potential (Es)_0D_2 (y=4)"
#-------------------------------
7.0000000000000	7.5559878349304
8.0000000000000	7.0511856079102
#
#"x"	"Potential (Es)_0D_2 (y=5)"
#-------------------------------
5.0000000000000	8.2517385482788
7.0000000000000	7.2075428962708
8.0000000000000	6.7715468406677
#
#"x"	"Potential (Es)_0D_2 (y=6)"
#-------------------------------
4.0000000000000	8.1310338973999
5.0000000000000	7.6825189590454
7.0000000000000	6.8428411483765
8.0000000000000	6.4762177467346
#
#"x"	"Potential (Es)_0D_2 (y=7)"
#-------------------------------
1.0000000000000	8.2423696517944
2.0000000000000	8.0584383010864
4.0000000000000	7.4784088134766
5.0000000000000	7.1382446289062
7.0000000000000	6.4752302169800
8.0000000000000	6.1684451103210
#
#"x"	"Potential (Es)_0D_2 (y=8)"
#-------------------------------
1.0000000000000	7.3857836723328
2.0000000000000	7.2806363105774
4.0000000000000	6.8869633674622
5.0000000000000	6.6371145248413
7.0000000000000	6.1179571151733
8.0000000000000	5.8683304786682
#
#"x"	"Potential (Es)_0D_2 (y=9)"
#-------------------------------
1.0000000000000	6.6762151718140
2.0000000000000	6.6197819709778
4.0000000000000	6.3639063835144
5.0000000000000	6.1889438629150
7.0000000000000	5.7805099487305
8.0000000000000	5.5739555358887
