#
#"x_pos"	"Ant4 (y_pos=-2.75)"
#----------------------------
-2.7500000000000	0.14608742296696
-2.2500000000000	0.16302479803562
-1.7500000000000	0.18341301381588
-1.2500000000000	0.20859314501286
-0.75000000000000	0.23930492997169
-0.25000000000000	0.27878907322884
0.25000000000000	0.32859888672829
0.75000000000000	0.39021351933479
1.2500000000000	0.44417887926102
1.7500000000000	0.48289021849632
2.2500000000000	0.49060529470444
2.7500000000000	0.44250720739365
#
#"x_pos"	"Ant4 (y_pos=-2.25)"
#----------------------------
-2.7500000000000	0.15122388303280
-2.2500000000000	0.17189095914364
-1.7500000000000	0.19289708137512
-1.2500000000000	0.22044458985329
-0.75000000000000	0.25369814038277
-0.25000000000000	0.30310863256454
0.25000000000000	0.36598846316338
0.75000000000000	0.45391097664833
1.2500000000000	0.54727953672409
1.7500000000000	0.61467474699020
2.2500000000000	0.63192886114120
2.7500000000000	0.52789551019669
#
#"x_pos"	"Ant4 (y_pos=-1.75)"
#----------------------------
-2.7500000000000	0.15969191491604
-2.2500000000000	0.18264412879944
-1.7500000000000	0.20535323023796
-1.2500000000000	0.23177562654018
-0.75000000000000	0.26534005999565
-0.25000000000000	0.30970507860184
0.25000000000000	0.37912344932556
0.75000000000000	0.48283046483994
1.2500000000000	0.61363935470581
1.7500000000000	0.70355862379074
2.2500000000000	0.67110520601273
2.7500000000000	0.54328864812851
#
#"x_pos"	"Ant4 (y_pos=-1.25)"
#----------------------------
-2.7500000000000	0.17030668258667
-2.2500000000000	0.19450700283051
-1.7500000000000	0.21862828731537
-1.2500000000000	0.24514213204384
-0.75000000000000	0.27493879199028
-0.25000000000000	0.30660435557365
0.25000000000000	0.35892859101295
0.75000000000000	0.46974068880081
1.2500000000000	0.61555802822113
1.7500000000000	0.67064481973648
2.2500000000000	0.61252081394196
2.7500000000000	0.50741434097290
#
#"x_pos"	"Ant4 (y_pos=-0.75)"
#----------------------------
-2.7500000000000	0.17795404791832
-2.2500000000000	0.20826515555382
-1.7500000000000	0.23335139453411
-1.2500000000000	0.26007434725761
-0.75000000000000	0.28612160682678
0.75000000000000	0.37891790270805
1.2500000000000	0.50119525194168
1.7500000000000	0.54100048542023
2.2500000000000	0.50520473718643
2.7500000000000	0.43767303228378
#
#"x_pos"	"Ant4 (y_pos=-0.25)"
#----------------------------
-2.7500000000000	0.18473373353481
-2.2500000000000	0.22026315331459
-1.7500000000000	0.24555848538876
-1.2500000000000	0.27210864424706
1.2500000000000	0.37765589356422
1.7500000000000	0.41421097517014
2.2500000000000	0.40343230962753
2.7500000000000	0.36756947636604
#
#"x_pos"	"Ant4 (y_pos=0.25)"
#---------------------------
-2.7500000000000	0.18143706023693
-2.2500000000000	0.21754445135593
-1.7500000000000	0.24312162399292
-1.2500000000000	0.26967692375183
1.2500000000000	0.31662568449974
1.7500000000000	0.33104914426804
2.2500000000000	0.32641386985779
2.7500000000000	0.30721765756607
#
#"x_pos"	"Ant4 (y_pos=0.75)"
#---------------------------
-2.7500000000000	0.17137156426907
-2.2500000000000	0.20019766688347
-1.7500000000000	0.22361901402473
-1.2500000000000	0.24908573925495
-0.75000000000000	0.27918723225594
0.75000000000000	0.28626745939255
1.2500000000000	0.27936056256294
1.7500000000000	0.27754521369934
2.2500000000000	0.27040034532547
2.7500000000000	0.25565335154533
#
#"x_pos"	"Ant4 (y_pos=1.25)"
#---------------------------
-2.7500000000000	0.15785063803196
-2.2500000000000	0.17937824130058
-1.7500000000000	0.19903101027012
-1.2500000000000	0.21975186467171
-0.75000000000000	0.24021813273430
-0.25000000000000	0.25590139627457
0.25000000000000	0.25868150591850
0.75000000000000	0.25184255838394
1.2500000000000	0.24393877387047
1.7500000000000	0.23695120215416
2.2500000000000	0.22851467132568
2.7500000000000	0.21759495139122
#
#"x_pos"	"Ant4 (y_pos=1.75)"
#---------------------------
-2.7500000000000	0.14371779561043
-2.2500000000000	0.16073788702488
-1.7500000000000	0.17673125863075
-1.2500000000000	0.19090411067009
-0.75000000000000	0.20477978885174
-0.25000000000000	0.21471902728081
0.25000000000000	0.21777579188347
0.75000000000000	0.21601596474648
1.2500000000000	0.21049216389656
1.7500000000000	0.20446613430977
2.2500000000000	0.19668035209179
2.7500000000000	0.18752622604370
#
#"x_pos"	"Ant4 (y_pos=2.25)"
#---------------------------
-2.7500000000000	0.13116347789764
-2.2500000000000	0.14518681168556
-1.7500000000000	0.15672779083252
-1.2500000000000	0.16711260378361
-0.75000000000000	0.17864300310612
-0.25000000000000	0.18477664887905
0.25000000000000	0.18720360100269
0.75000000000000	0.18593858182430
1.2500000000000	0.18379379808903
1.7500000000000	0.17753700911999
2.2500000000000	0.17194214463234
2.7500000000000	0.16403792798519
#
#"x_pos"	"Ant4 (y_pos=2.75)"
#---------------------------
-2.7500000000000	0.12022424489260
-2.2500000000000	0.12896670401096
-1.7500000000000	0.13989007472992
-1.2500000000000	0.14818666875362
-0.75000000000000	0.15496282279491
-0.25000000000000	0.16133701801300
0.25000000000000	0.16336318850517
0.75000000000000	0.16312213242054
1.2500000000000	0.16145002841949
1.7500000000000	0.15702532231808
2.2500000000000	0.14950428903103
2.7500000000000	0.14520563185215
2.7500000000000	0.14520563185215
