#
#"x"	"Potential (Es)_0D (y=0)"
#-----------------------------
0.0000000000000	3.5255792140961
6.0000000000000	3.4874913692474
12.000000000000	3.3795504570007
18.000000000000	3.2177069187164
24.000000000000	3.0216181278229
30.000000000000	2.8092520236969
42.000000000000	2.4017412662506
48.000000000000	2.2133791446686
#
#"x"	"Potential (Es)_0D (y=6)"
#-----------------------------
0.0000000000000	3.4874742031097
6.0000000000000	3.4504811763763
12.000000000000	3.3453826904297
18.000000000000	3.1875030994415
24.000000000000	2.9957208633423
30.000000000000	2.7874727249146
36.000000000000	2.5784459114075
42.000000000000	2.3876035213470
48.000000000000	2.2016432285309
#
#"x"	"Potential (Es)_0D (y=12)"
#------------------------------
0.0000000000000	3.3795886039734
6.0000000000000	3.3453669548035
12.000000000000	3.2480587959290
18.000000000000	3.1010484695435
24.000000000000	2.9212915897369
30.000000000000	2.7246932983398
36.000000000000	2.5260906219482
42.000000000000	2.3437035083771
48.000000000000	2.1665828227997
#
#"x"	"Potential (Es)_0D (y=18)"
#------------------------------
0.0000000000000	3.2177271842957
6.0000000000000	3.1874043941498
12.000000000000	3.1010541915894
18.000000000000	2.9694731235504
24.000000000000	2.8069708347321
30.000000000000	2.6273639202118
36.000000000000	2.4443576335907
42.000000000000	2.2757909297943
48.000000000000	2.1096878051758
#
#"x"	"Potential (Es)_0D (y=24)"
#------------------------------
0.0000000000000	3.0221598148346
6.0000000000000	2.9957113265991
12.000000000000	2.9212615489960
18.000000000000	2.8069655895233
24.000000000000	2.6641499996185
30.000000000000	2.5044119358063
36.000000000000	2.3398516178131
42.000000000000	2.1884992122650
48.000000000000	2.0363843441010
#
#"x"	"Potential (Es)_0D (y=30)"
#------------------------------
0.0000000000000	2.8092105388641
6.0000000000000	2.7874848842621
12.000000000000	2.7246835231781
18.000000000000	2.6273820400238
24.000000000000	2.5044004917145
30.000000000000	2.3649950027466
36.000000000000	2.2200205326080
42.000000000000	2.0861628055573
48.000000000000	1.9502897262573
#
#"x"	"Potential (Es)_0D (y=36)"
#------------------------------
0.0000000000000	2.5964713096619
6.0000000000000	2.5784373283386
12.000000000000	2.5261037349701
18.000000000000	2.4443356990814
24.000000000000	2.3400106430054
30.000000000000	2.2200231552124
36.000000000000	2.0937654972076
42.000000000000	1.9777429103851
48.000000000000	1.8583432435989
#
#"x"	"Potential (Es)_0D (y=42)"
#------------------------------
0.0000000000000	2.4017293453217
6.0000000000000	2.3868443965912
12.000000000000	2.3436632156372
18.000000000000	2.2756671905518
24.000000000000	2.1881921291351
30.000000000000	2.0856993198395
36.000000000000	1.9773463010788
42.000000000000	1.8807446956635
48.000000000000	1.7785302400589
#
#"x"	"Potential (Es)_0D (y=48)"
#------------------------------
0.0000000000000	2.2136399745941
6.0000000000000	2.2014977931976
12.000000000000	2.1658287048340
18.000000000000	2.1096317768097
24.000000000000	2.0360906124115
30.000000000000	1.9491838216782
36.000000000000	1.8573435544968
42.000000000000	1.7779126167297
48.000000000000	1.6917399168015
