#
#"x"	"Potential (Es)_0D_3 (y=0.2)"
#---------------------------------
9.0000000000000	6.3806920051575
12.000000000000	4.9706988334656
15.000000000000	4.3556141853333
18.000000000000	3.9775414466858
21.000000000000	3.7115254402161
24.000000000000	3.5062923431396
27.000000000000	3.3353667259216
30.000000000000	3.1718332767487
33.000000000000	2.9746668338776
36.000000000000	2.4346582889557
#
#"x"	"Potential (Es)_0D_3 (y=0.4)"
#---------------------------------
9.0000000000000	6.4177026748657
12.000000000000	4.9887924194336
15.000000000000	4.3628277778625
18.000000000000	3.9769718647003
21.000000000000	3.7064070701599
24.000000000000	3.4969027042389
27.000000000000	3.3193764686584
30.000000000000	3.1542928218842
33.000000000000	2.9520592689514
36.000000000000	2.4277665615082
#
#"x"	"Potential (Es)_0D_3 (y=0.6)"
#---------------------------------
9.0000000000000	6.4677238464355
12.000000000000	5.0166096687317
15.000000000000	4.3715100288391
18.000000000000	3.9752693176270
21.000000000000	3.6965823173523
24.000000000000	3.4809966087341
27.000000000000	3.2978000640869
30.000000000000	3.1281807422638
33.000000000000	2.9215168952942
36.000000000000	2.4175143241882
#
#"x"	"Potential (Es)_0D_3 (y=0.8)"
#---------------------------------
9.0000000000000	6.5255465507507
12.000000000000	5.0490636825562
15.000000000000	4.3834109306335
18.000000000000	3.9737610816956
21.000000000000	3.6852717399597
24.000000000000	3.4615213871002
27.000000000000	3.2729771137238
30.000000000000	3.0963785648346
33.000000000000	2.8845412731171
36.000000000000	2.4048473834991
#
#"x"	"Potential (Es)_0D_3 (y=1.2)"
#---------------------------------
9.0000000000000	6.6239938735962
12.000000000000	5.1112856864929
15.000000000000	4.4066042900085
18.000000000000	3.9697444438934
21.000000000000	3.6617455482483
24.000000000000	3.4214706420898
27.000000000000	3.2219922542572
30.000000000000	3.0326330661774
33.000000000000	2.8092367649078
36.000000000000	2.3753883838654
#
#"x"	"Potential (Es)_0D_3 (y=1.4)"
#---------------------------------
9.0000000000000	6.6589498519897
12.000000000000	5.1404347419739
15.000000000000	4.4155769348145
18.000000000000	3.9663443565369
21.000000000000	3.6489443778992
24.000000000000	3.4028346538544
27.000000000000	3.1949081420898
30.000000000000	3.0008676052094
33.000000000000	2.7734410762787
36.000000000000	2.3597161769867
#
#"x"	"Potential (Es)_0D_3 (y=1.6)"
#---------------------------------
9.0000000000000	6.6883516311646
12.000000000000	5.1642527580261
15.000000000000	4.4235110282898
18.000000000000	3.9647507667542
21.000000000000	3.6368572711945
24.000000000000	3.3849391937256
27.000000000000	3.1703450679779
30.000000000000	2.9704878330231
33.000000000000	2.7393839359283
36.000000000000	2.3445923328400
#
#"x"	"Potential (Es)_0D_3 (y=1.8)"
#---------------------------------
9.0000000000000	6.7080430984497
12.000000000000	5.1897654533386
15.000000000000	4.4322395324707
18.000000000000	3.9610028266907
21.000000000000	3.6267125606537
24.000000000000	3.3668932914734
27.000000000000	3.1480579376221
30.000000000000	2.9430944919586
33.000000000000	2.7084901332855
36.000000000000	2.3304059505463
#
#"x"	"Potential (Es)_0D_3 (y=2.2)"
#---------------------------------
9.0000000000000	6.7179155349731
12.000000000000	5.2215895652771
15.000000000000	4.4447932243347
18.000000000000	3.9550175666809
21.000000000000	3.6048910617828
24.000000000000	3.3338375091553
27.000000000000	3.1048893928528
30.000000000000	2.8912732601166
33.000000000000	2.6501109600067
36.000000000000	2.3017475605011
#
#"x"	"Potential (Es)_0D_3 (y=2.4)"
#---------------------------------
9.0000000000000	6.7160406112671
12.000000000000	5.2308745384216
15.000000000000	4.4493165016174
18.000000000000	3.9498596191406
21.000000000000	3.5935139656067
24.000000000000	3.3179221153259
27.000000000000	3.0840051174164
30.000000000000	2.8675482273102
33.000000000000	2.6253619194031
36.000000000000	2.2890396118164
#
#"x"	"Potential (Es)_0D_3 (y=2.6)"
#---------------------------------
9.0000000000000	6.7081747055054
12.000000000000	5.2417144775391
15.000000000000	4.4523420333862
18.000000000000	3.9466626644135
21.000000000000	3.5847401618958
24.000000000000	3.3033580780029
27.000000000000	3.0653936862946
30.000000000000	2.8453986644745
33.000000000000	2.6022570133209
36.000000000000	2.2765996456146
#
#"x"	"Potential (Es)_0D_3 (y=2.8)"
#---------------------------------
9.0000000000000	6.6932611465454
12.000000000000	5.2483987808228
15.000000000000	4.4522023200989
18.000000000000	3.9412715435028
21.000000000000	3.5755906105042
24.000000000000	3.2897264957428
27.000000000000	3.0484941005707
30.000000000000	2.8241789340973
36.000000000000	2.2643234729767
