#
#"x"	"Potential (Es)_0D_2 (y=0)"
#-------------------------------
8.0000000000000	7.7399439811707
9.0000000000000	6.8759846687317
#
#"x"	"Potential (Es)_0D_2 (y=1)"
#-------------------------------
8.0000000000000	7.7749929428101
9.0000000000000	6.9811058044434
#
#"x"	"Potential (Es)_0D_2 (y=2)"
#-------------------------------
8.0000000000000	7.7130913734436
9.0000000000000	7.0366907119751
#
#"x"	"Potential (Es)_0D_2 (y=3)"
#-------------------------------
7.0000000000000	8.2518682479858
8.0000000000000	7.5288128852844
9.0000000000000	6.9438548088074
#
#"x"	"Potential (Es)_0D_2 (y=4)"
#-------------------------------
7.0000000000000	7.8860163688660
8.0000000000000	7.2738103866577
9.0000000000000	6.7667536735535
#
#"x"	"Potential (Es)_0D_2 (y=5)"
#-------------------------------
6.0000000000000	8.0838251113892
7.0000000000000	7.4853334426880
8.0000000000000	6.9707422256470
#
#"x"	"Potential (Es)_0D_2 (y=6)"
#-------------------------------
5.0000000000000	8.0730962753296
6.0000000000000	7.5466151237488
7.0000000000000	7.0703611373901
8.0000000000000	6.6451640129089
9.0000000000000	6.2752604484558
#
#"x"	"Potential (Es)_0D_2 (y=7)"
#-------------------------------
3.0000000000000	8.2399435043335
4.0000000000000	7.8406920433044
5.0000000000000	7.4332551956177
6.0000000000000	7.0338859558105
7.0000000000000	6.6609883308411
8.0000000000000	6.3196225166321
9.0000000000000	6.0045628547668
#
#"x"	"Potential (Es)_0D_2 (y=8)"
#-------------------------------
0.0000000000000	7.5435910224915
1.0000000000000	7.6168465614319
2.0000000000000	7.5684022903442
3.0000000000000	7.3892660140991
4.0000000000000	7.1382079124451
5.0000000000000	6.8529653549194
6.0000000000000	6.5599265098572
7.0000000000000	6.2690777778625
8.0000000000000	5.9901456832886
9.0000000000000	5.7303156852722
#
#"x"	"Potential (Es)_0D_2 (y=9)"
#-------------------------------
0.0000000000000	6.3630595207214
1.0000000000000	6.5753941535950
2.0000000000000	6.7130284309387
3.0000000000000	6.6723637580872
4.0000000000000	6.5330801010132
5.0000000000000	6.3432073593140
6.0000000000000	6.1273808479309
7.0000000000000	5.9012837409973
8.0000000000000	5.6770701408386
9.0000000000000	5.4627070426941
